{disease_id}	{index}
OMIM:144600	816
OMIM:144650	817
OMIM:144700	818
OMIM:144750	819
OMIM:144755	820
OMIM:144800	821
OMIM:145000	822
OMIM:145001	823
OMIM:145100	824
OMIM:145200	825
OMIM:145250	826
OMIM:145260	827
OMIM:145270	828
OMIM:145290	829
OMIM:145295	830
OMIM:145300	831
OMIM:145350	832
OMIM:145400	833
OMIM:145410	834
OMIM:145420	835
OMIM:145500	836
OMIM:145590	837
OMIM:145600	838
OMIM:145650	839
OMIM:145680	840
OMIM:145700	841
OMIM:145701	842
OMIM:145750	843
OMIM:145800	844
OMIM:145900	845
OMIM:145980	846
OMIM:145981	847
OMIM:146000	848
OMIM:146110	849
OMIM:146160	850
OMIM:146200	851
OMIM:146255	852
OMIM:146300	853
OMIM:146350	854
OMIM:146390	855
OMIM:146450	856
OMIM:146500	857
OMIM:146510	858
OMIM:146520	859
OMIM:146550	860
OMIM:146580	861
OMIM:146590	862
OMIM:146600	863
OMIM:146700	864
OMIM:146720	865
OMIM:146750	866
OMIM:146800	867
OMIM:146810	868
OMIM:146820	869
OMIM:146830	870
OMIM:146840	871
OMIM:146850	872
OMIM:146950	873
OMIM:146960	874
OMIM:146990	875
OMIM:147050	876
OMIM:147060	877
OMIM:147061	878
OMIM:147080	879
OMIM:147090	880
OMIM:147250	881
OMIM:147251	882
OMIM:147260	883
OMIM:147300	884
OMIM:147320	885
OMIM:147330	886
OMIM:147350	887
OMIM:147400	888
OMIM:147421	889
OMIM:147430	890
OMIM:147480	891
OMIM:147530	892
OMIM:147540	893
OMIM:147560	894
OMIM:147610	895
OMIM:147630	896
OMIM:147710	897
OMIM:147750	898
OMIM:147770	899
OMIM:147791	900
OMIM:147800	901
OMIM:147820	902
OMIM:147860	903
OMIM:147891	904
OMIM:147900	905
OMIM:147920	906
OMIM:147950	907
OMIM:148000	908
OMIM:148050	909
OMIM:148100	910
OMIM:148190	911
OMIM:148200	912
OMIM:148210	913
OMIM:148300	914
OMIM:148350	915
OMIM:148360	916
OMIM:148370	917
OMIM:148390	918
OMIM:148500	919
OMIM:148520	920
OMIM:148600	921
OMIM:148700	922
OMIM:148730	923
OMIM:148800	924
OMIM:148820	925
OMIM:148840	926
OMIM:149000	927
OMIM:149100	928
OMIM:149200	929
OMIM:149300	930
OMIM:149400	931
OMIM:149500	932
OMIM:149600	933
OMIM:149700	934
OMIM:149730	935
OMIM:150170	936
OMIM:150230	937
OMIM:150250	938
OMIM:150260	939
OMIM:150270	940
OMIM:150280	941
OMIM:150300	942
OMIM:150360	943
OMIM:150400	944
OMIM:150500	945
OMIM:150550	946
OMIM:150590	947
OMIM:150600	948
OMIM:150699	949
OMIM:150700	950
OMIM:150800	951
OMIM:150900	952
OMIM:151000	953
OMIM:151001	954
OMIM:151050	955
OMIM:151100	956
OMIM:151200	957
OMIM:151210	958
OMIM:151380	959
OMIM:151400	960
OMIM:151450	961
OMIM:151500	962
OMIM:151590	963
OMIM:151600	964
OMIM:151610	965
OMIM:151620	966
OMIM:151623	967
OMIM:151630	968
OMIM:151640	969
OMIM:151660	970
OMIM:151700	971
OMIM:151800	972
OMIM:151900	973
OMIM:152100	974
OMIM:152300	975
OMIM:152400	976
OMIM:152420	977
OMIM:152430	978
OMIM:152450	979
OMIM:152550	980
OMIM:152600	981
OMIM:152700	982
OMIM:152800	983
OMIM:152900	984
OMIM:152950	985
OMIM:153100	986
OMIM:153200	987
OMIM:153280	988
OMIM:153290	989
OMIM:153300	990
OMIM:153400	991
OMIM:153470	992
OMIM:153550	993
OMIM:153600	994
OMIM:153630	995
OMIM:153670	996
OMIM:153700	997
OMIM:153800	998
OMIM:153840	999
OMIM:153870	1000
OMIM:153880	1001
OMIM:153890	1002
OMIM:154020	1003
OMIM:154230	1004
OMIM:154275	1005
OMIM:154276	1006
OMIM:154300	1007
OMIM:154370	1008
OMIM:154400	1009
OMIM:154500	1010
OMIM:154570	1011
OMIM:154600	1012
OMIM:154700	1013
OMIM:154750	1014
OMIM:154780	1015
OMIM:154800	1016
OMIM:154850	1017
OMIM:155000	1018
OMIM:155050	1019
OMIM:155100	1020
OMIM:155140	1021
OMIM:155145	1022
OMIM:155150	1023
OMIM:155200	1024
OMIM:155240	1025
OMIM:155255	1026
OMIM:155310	1027
OMIM:155350	1028
OMIM:155500	1029
OMIM:155600	1030
OMIM:155601	1031
OMIM:155700	1032
OMIM:155720	1033
OMIM:155755	1034
OMIM:155770	1035
OMIM:155900	1036
OMIM:155950	1037
OMIM:155980	1038
OMIM:156000	1039
OMIM:156190	1040
OMIM:156200	1041
OMIM:156220	1042
OMIM:156230	1043
OMIM:156232	1044
OMIM:156240	1045
OMIM:156250	1046
OMIM:156300	1047
OMIM:156310	1048
OMIM:156400	1049
OMIM:156500	1050
OMIM:156510	1051
OMIM:156520	1052
OMIM:156530	1053
OMIM:156550	1054
OMIM:156580	1055
OMIM:156600	1056
OMIM:156610	1057
OMIM:156620	1058
OMIM:156700	1059
OMIM:156810	1060
OMIM:156830	1061
OMIM:156850	1062
OMIM:156900	1063
OMIM:157150	1064
OMIM:157151	1065
OMIM:157170	1066
OMIM:157200	1067
OMIM:157300	1068
OMIM:157400	1069
OMIM:157600	1070
OMIM:157640	1071
OMIM:157700	1072
OMIM:157800	1073
OMIM:157900	1074
OMIM:157950	1075
OMIM:157960	1076
OMIM:157980	1077
OMIM:158000	1078
OMIM:158030	1079
OMIM:158040	1080
OMIM:158050	1081
OMIM:158100	1082
OMIM:158170	1083
OMIM:158250	1084
OMIM:158280	1085
OMIM:158300	1086
OMIM:158310	1087
OMIM:158320	1088
OMIM:158330	1089
OMIM:158345	1090
OMIM:158350	1091
OMIM:158400	1092
OMIM:158500	1093
OMIM:158580	1094
OMIM:158590	1095
OMIM:158600	1096
OMIM:158650	1097
OMIM:158800	1098
OMIM:158810	1099
OMIM:158900	1100
OMIM:158901	1101
OMIM:159000	1102
OMIM:159001	1103
OMIM:159050	1104
OMIM:159100	1105
OMIM:159300	1106
OMIM:159400	1107
OMIM:159410	1108
OMIM:159420	1109
OMIM:159500	1110
OMIM:159550	1111
OMIM:159580	1112
OMIM:159595	1113
OMIM:159600	1114
OMIM:159700	1115
OMIM:159800	1116
OMIM:159900	1117
OMIM:159950	1118
OMIM:160010	1119
OMIM:160120	1120
OMIM:160150	1121
OMIM:160300	1122
OMIM:160500	1123
OMIM:160565	1124
OMIM:160570	1125
OMIM:160700	1126
OMIM:160750	1127
OMIM:160800	1128
OMIM:160900	1129
OMIM:160980	1130
OMIM:160990	1131
OMIM:161000	1132
OMIM:161050	1133
OMIM:161070	1134
OMIM:161080	1135
OMIM:161100	1136
OMIM:161200	1137
OMIM:161400	1138
OMIM:161470	1139
OMIM:161480	1140
OMIM:161500	1141
OMIM:161530	1142
OMIM:161550	1143
OMIM:161600	1144
OMIM:161700	1145
OMIM:161800	1146
OMIM:161900	1147
OMIM:161950	1148
OMIM:162000	1149
OMIM:162020	1150
OMIM:162091	1151
OMIM:162100	1152
OMIM:162200	1153
OMIM:162210	1154
OMIM:162240	1155
OMIM:162260	1156
OMIM:162270	1157
OMIM:162300	1158
OMIM:162350	1159
OMIM:162370	1160
OMIM:162380	1161
OMIM:162400	1162
OMIM:162500	1163
OMIM:162600	1164
OMIM:162700	1165
OMIM:162800	1166
OMIM:162820	1167
OMIM:162830	1168
OMIM:162880	1169
OMIM:162900	1170
OMIM:163000	1171
OMIM:163050	1172
OMIM:163100	1173
OMIM:163200	1174
OMIM:163400	1175
OMIM:163500	1176
OMIM:163600	1177
OMIM:163700	1178
OMIM:163800	1179
OMIM:163850	1180
OMIM:163950	1181
OMIM:164000	1182
OMIM:164100	1183
OMIM:164150	1184
OMIM:164170	1185
OMIM:164180	1186
OMIM:164185	1187
OMIM:164190	1188
OMIM:164200	1189
OMIM:164210	1190
OMIM:164220	1191
OMIM:164230	1192
OMIM:164280	1193
OMIM:164300	1194
OMIM:164310	1195
OMIM:164330	1196
